name,item_id,volume_m3,buyVolume,sellVolume,buyOrders,sellOrders,sellOutliers,buyOutliers,buyThreshold,sellThreshold,buyAvgFivePercent,sellAvgFivePercent
Antimatter Reactor Unit,11549,1.0,32426,66287,21,13,0,6,11110.0,1268000.0,110433.74460209747,127986.3325740319
EM Pulse Generator,11694,1.0,4095,216659,5,30,1,2,2017.0,208400.0,20170.0,20840.0
Fusion Thruster,11532,1.0,114246,118101,18,19,0,0,712.4000000000001,367100.0,7122.973739495798,36836.059271803555
Laser Focusing Crystals,11689,1.0,80411,589092,19,50,1,4,2309.0,249800.0,23073.6815920398,24980.0
Linear Shield Emitter,11557,1.0,62080,97718,6,17,1,0,3326.0,437700.0,33079.73260309279,43770.0
Nanoelectrical Microprocessor,11539,1.0,123750,588836,27,82,1,3,5356.0,482800.0,46456.696298690804,48280.0
Radar Sensor Cluster,11537,1.0,67708,222557,17,22,0,0,2355.0,243200.0,23550.0,24327.996764626583
Tesseract Capacitor Unit,11554,1.0,33901,274920,19,39,1,1,4841.0,513400.0,48410.0,51348.01722787784
Tungsten Carbide Armor Plate,11543,1.0,420074,1916664,13,28,0,1,760.1,79910.0,7601.0,7991.0
Gravimetric Sensor Cluster,11534,1.0,44331,266568,11,49,1,2,2223.0,262200.0,22230.0,26220.0
Graviton Pulse Generator,11693,1.0,90138,150996,20,22,0,3,1920.0,210900.0,19200.0,21090.0
Graviton Reactor Unit,11550,1.0,12629,45968,13,15,0,4,9522.0,1083000.0,95220.0,108300.0
Magpulse Thruster,11533,1.0,28180,99435,7,19,0,1,3154.0,382600.0,31540.0,38279.13900623617
Quantum Microprocessor,11540,1.0,96093,658834,18,73,0,2,5356.0,503400.0,48801.165695253956,50340.0
Scalar Capacitor Unit,11552,1.0,47286,275403,17,30,2,3,4473.0,474400.0,44661.12944162437,47440.0
Superconductor Rails,11690,1.0,25643,193787,4,35,1,2,1777.0,220400.0,17770.0,22047.586545543825
Sustained Shield Emitter,11558,1.0,46430,205318,10,38,0,0,3803.0,412200.0,36919.80611805256,41220.0
Titanium Diborite Armor Plate,11544,1.0,338247,1537266,13,23,1,2,750.9000000000001,75860.0,7509.0,7586.0
Crystalline Carbonide Armor Plate,11545,1.0,875029,2429399,24,69,0,1,759.0,79520.0,7590.0,7952.0
Fusion Reactor Unit,11547,1.0,7485,19778,15,20,0,3,9861.0,1080000.0,98610.0,108000.0
Ion Thruster,11531,1.0,78442,208456,26,43,1,2,3750.0,382900.0,37330.5456399796,38302.094767342765
Magnetometric Sensor Cluster,11535,1.0,72539,80365,16,15,0,4,2352.0,270700.0,23511.11969111969,27070.0
Oscillator Capacitor Unit,11553,1.0,86915,209024,29,48,1,4,4702.0,569400.0,46638.84464902186,56940.0
Particle Accelerator Unit,11688,1.0,95030,32297,26,13,0,9,2261.0,260000.0,22601.460745106295,26755.731102850063
Photon Microprocessor,11541,1.0,57324,955572,13,33,0,3,4699.0,454500.0,40274.487090020935,45450.0
Plasma Pulse Generator,11695,1.0,23854,206070,17,7,0,3,1659.0,203500.0,16590.0,20350.0
Pulse Shield Emitter,11556,1.0,109676,147845,19,34,1,1,3452.0,357300.0,33602.29983585628,35775.88785046729
Deflection Shield Emitter,11555,1.0,69504,40057,12,18,0,2,3543.0,380200.0,35430.0,38022.65234765235
Electrolytic Capacitor Unit,11551,1.0,108882,167867,16,41,1,1,4796.0,495100.0,47942.33284349743,49510.0
Fernite Carbide Composite Armor Plate,11542,1.0,738690,2098842,15,38,1,1,548.1,55850.0,5481.0,5586.473442472985
Ladar Sensor Cluster,11536,1.0,148731,254811,13,54,0,2,2010.0,261800.0,20095.333512641206,26189.21507064364
Nanomechanical Microprocessor,11538,1.0,147796,277180,25,43,0,4,4364.0,510100.0,43627.719583164166,51010.0
Nuclear Pulse Generator,11692,1.0,54985,205817,11,34,0,3,1302.0,154300.0,12794.17606402328,15499.337390128465
Nuclear Reactor Unit,11548,1.0,12976,46706,14,19,0,1,10110.0,1047000.0,101008.64197530864,104775.33247533247
Plasma Thruster,11530,1.0,86773,178618,19,44,0,4,2058.0,391600.0,20576.560627017057,39181.35131040752
Thermonuclear Trigger Unit,11691,1.0,83116,201177,21,16,0,0,1883.0,221500.0,18830.0,22150.0
