name,item_id,volume_m3,buyVolume,sellVolume,buyOrders,sellOrders,sellOutliers,buyOutliers,buyThreshold,sellThreshold,buyAvgFivePercent,sellAvgFivePercent
Tritanium,34,0.01,20772468919,11619953658,91,145,9,5,0.42100000000000004,40.0,4.0486325291164595,4.049665389887046
Pyerite,35,0.01,4024169608,5006853457,78,215,5,1,2.468,244.7,23.664252528074364,24.789266118978173
Mexallon,36,0.01,927222314,2875744116,80,280,2,3,5.300000000000001,511.3,47.33575667668908,51.171308258954724
Isogen,37,0.01,232055635,906270477,39,195,6,2,23.200000000000003,2202.0,207.47977868409308,220.2
Zydrine,39,0.01,41569317,60178475,84,59,1,5,153.5,15740.0,1495.0257569889318,1574.0
Nocxium,38,0.01,71500123,174659497,92,120,1,2,94.11000000000001,9249.0,890.754104077028,924.9770799683461
Megacyte,40,0.01,23371921,39815231,93,82,1,4,311.90000000000003,31270.0,2917.1412267370415,3128.9499970111933
Morphite,11399,0.01,3975505,8446933,88,84,0,6,2010.0,213600.0,19905.491988429127,21436.465930777136
