name,item_id,volume_m3,buyVolume,sellVolume,buyOrders,sellOrders,sellOutliers,buyOutliers,buyThreshold,sellThreshold,buyAvgFivePercent,sellAvgFivePercent
Caesarium Cadmide,16663,0.2,989821,1024362,40,17,0,5,606.0,74800.0,6039.523388090764,7480.0
Carbon Fiber,57453,0.2,2232313,6817543,14,37,0,5,170.9,19470.0,1708.5178963400976,1947.0
Carbon Polymers,16659,0.2,6827050,13234702,30,76,0,1,85.0,8900.0,845.225820853547,901.188656184122
Ceramic Powder,16660,0.2,2292420,6124845,22,15,0,5,88.06,9889.0,880.2133998132977,988.9
Crystallite Alloy,16655,0.2,1732142,1925486,37,28,0,5,577.0,62980.0,5714.52220952117,6299.447003835359
Dysporite,16668,0.2,450137,783333,16,22,0,2,3051.0,318200.0,30502.176308539943,31844.723995302047
Fernite Alloy,16656,0.2,781081,6646604,15,56,0,4,141.1,17870.0,1411.0,1787.0
Ferrofluid,16669,0.2,611220,351163,17,16,0,5,3589.0,389000.0,35886.15032230621,38907.72183620002
Fluxed Condensates,17769,0.2,144115,463002,18,17,0,4,3605.0,379900.0,36050.0,39323.12051835853
Hexite,16665,0.2,1096013,2814426,16,42,1,4,805.5,87660.0,8050.930656934306,8766.0
Hyperflurite,16666,0.2,129558,1126979,13,52,0,2,2517.0,281900.0,25162.91338582677,28199.136313801926
Neo Mercurite,16667,0.2,539787,500999,19,16,0,3,3914.0,412900.0,39121.76627514914,41296.78550041918
Oxy-Organic Solvents,57454,0.1,23331,155800,18,52,0,2,19330.0,2033000.0,193300.0,203388.62158647593
Platinum Technite,16662,0.2,508000,886173,29,19,0,4,1296.0,153000.0,12949.842519685038,15764.398793603825
Promethium Mercurite,33337,0.2,652572,72516,34,6,0,2,2897.0,326600.0,28966.129704548242,39586.56551724138
Prometium,17960,0.2,130620,211741,18,11,0,5,3360.0,359400.0,33600.0,35940.0
Rolled Tungsten Alloy,16657,0.2,623753,1301388,12,37,0,3,499.8,51970.0,4997.116651168756,5197.974411778267
Silicon Diborite,16658,0.2,1422564,4124189,18,37,0,3,86.99000000000001,9639.0,869.8162917557081,963.9
Solerium,16664,0.2,487983,749365,18,16,0,4,635.0,69830.0,6350.0,6983.129610894942
Sulfuric Acid,16661,0.2,1277513,4630242,17,29,0,3,81.30000000000001,9459.0,812.9156555772994,945.9
Thermosetting Polymer,57455,0.2,3413273,7001764,24,33,0,6,102.10000000000001,11630.0,1019.5487422581344,1163.0
Thulium Hafnite,33336,0.2,1190575,320103,20,23,0,3,2563.0,278100.0,25620.83994086816,27818.15495157763
Titanium Chromide,16654,0.2,1870215,3837876,29,39,0,3,469.20000000000005,47250.0,4691.155534167468,4728.283039456151
Vanadium Hafnite,17959,0.2,451346,5132055,20,22,0,2,794.7,89820.0,7946.319404440112,8982.0
