name,item_id,volume_m3,buyVolume,sellVolume,buyOrders,sellOrders,sellOutliers,buyOutliers,buyThreshold,sellThreshold,buyAvgFivePercent,sellAvgFivePercent
Liquid Ozone,16273,0.4,129819870,297337057,30,196,5,1,9.043000000000001,950.0,90.41847312421997,103.03047124001509
Heavy Water,16272,0.4,141170552,158748760,45,72,2,3,11.0,1000.0,100.27379865374179,102.14780449308707
Strontium Clathrates,16275,3.0,2624807,14831728,16,84,1,1,375.90000000000003,39950.0,3667.468713806766,3999.6053040375627
Helium Isotopes,16274,0.03,93888624,283592596,53,102,0,3,93.51,9499.0,932.4553308377522,949.9968076386201
Hydrogen Isotopes,17889,0.03,16157395,233923239,22,110,0,1,65.0,6950.0,627.684596141206,695.0
Nitrogen Isotopes,17888,0.03,38832401,269690121,39,122,0,1,82.54,8255.0,818.0296266004677,860.9847088671353
Oxygen Isotopes,17887,0.03,75671227,92617564,61,69,0,2,92.08,9494.0,920.5608654651002,949.610981995217
