name,item_id,volume_m3,buyVolume,sellVolume,buyOrders,sellOrders,sellOutliers,buyOutliers,buyThreshold,sellThreshold,buyAvgFivePercent,sellAvgFivePercent
9848,9848,1,543848,1346705,44,137,0,1,7521.0,780000.0,75183.5256693145,78000.0
44,44,1,312175,2240690,13,98,2,4,957.4000000000001,89500.0,9573.640697078421,9936.098331799816
3689,3689,1,1299032,4633379,56,94,0,0,956.8000000000001,98500.0,9566.386706902127,9850.0
9832,9832,1,1788577,3276316,47,118,2,3,950.7,100000.0,9507.0,10009.22646711919
16275,16275,1,2992398,14622894,14,83,1,1,369.8,39990.0,3698.0,3999.9986924600353
3683,3683,1,21155649,25417448,48,81,1,3,36.15,3800.0,361.4875607639381,381.37352869615404
16272,16272,1,126640021,165634179,46,76,1,3,11.0,950.0,103.19072326267796,105.9797876235192
16273,16273,1,132061063,301061971,31,186,5,1,9.054,950.0,90.52274383077041,103.40233300710675
17887,17887,1,69962613,100921001,62,79,0,2,92.15,9349.0,921.4020060718155,939.9635059105638
