name_prod,item_id,EIV_value,Material_cost,Job_cost,Total_production_price,name_market,volume_m3,buyVolume,sellVolume,buyOrders,sellOrders,sellOutliers,buyOutliers,buyThreshold,sellThreshold,buyAvgFivePercent,sellAvgFivePercent,sell_profit_isk,buy_profit_isk,sell_margin_percent,buy_margin_percent
Nanomechanical Microprocessor,11538,35584.67,39741.77,2624.9,42366.67,Nanomechanical Microprocessor,1.0,147796,277180,25,43,0,4,4364.0,510100.0,43627.719583164166,51010.0,8643.330000000002,1261.0495831641674,20.401249378343877,2.9765133374045387
EM Pulse Generator,11694,17607.72,16054.65,1298.83,17353.49,EM Pulse Generator,1.0,4095,216659,5,30,1,2,2017.0,208400.0,20170.0,20840.0,3486.5099999999984,2816.5099999999984,20.09111711822808,16.230222278054722
Plasma Pulse Generator,11695,18070.1,15825.89,1332.94,17158.84,Plasma Pulse Generator,1.0,23854,206070,17,7,0,3,1659.0,203500.0,16590.0,20350.0,3191.16,-568.8400000000001,18.59776068778542,-3.3151425154614187
Radar Sensor Cluster,11537,9332.76,20271.77,688.43,20960.2,Radar Sensor Cluster,1.0,67708,222557,17,22,0,0,2355.0,243200.0,23550.0,24327.996764626583,3367.7967646265824,2589.7999999999993,16.067579339064427,12.355798131697213
Photon Microprocessor,11541,44275.48,36237.35,3265.98,39503.33,Photon Microprocessor,1.0,57324,955572,13,33,0,3,4699.0,454500.0,40274.487090020935,45450.0,5946.669999999998,771.1570900209335,15.05359168454912,1.9521318583039289
Quantum Microprocessor,11540,43538.46,41386.2,3211.61,44597.81,Quantum Microprocessor,1.0,96093,658834,18,73,0,2,5356.0,503400.0,48801.16569525396,50340.0,5742.190000000002,4203.355695253966,12.875497698205365,9.425027137552194
Nanoelectrical Microprocessor,11539,35664.88,41005.91,2630.82,43636.73,Nanoelectrical Microprocessor,1.0,123750,588836,27,82,1,3,5356.0,482800.0,46456.6962986908,48280.0,4643.269999999997,2819.9662986907933,10.640737745472672,6.4623685108641125
Scalar Capacitor Unit,11552,41432.35,40340.02,3056.26,43396.28,Scalar Capacitor Unit,1.0,47286,275403,17,30,2,3,4473.0,474400.0,44661.12944162437,47440.0,4043.720000000001,1264.8494416243702,9.318125885444562,2.914649462175952
Graviton Reactor Unit,11550,41343.81,100803.18,3049.73,103852.91,Graviton Reactor Unit,1.0,12629,45968,13,15,0,4,9522.0,1083000.0,95220.0,108300.0,4447.0899999999965,-8632.910000000003,4.282104372424419,-8.312631778926564
Fusion Reactor Unit,11547,41381.9,100858.6,3052.54,103911.14,Fusion Reactor Unit,1.0,7485,19778,15,20,0,3,9861.0,1080000.0,98610.0,108000.0,4088.8600000000006,-5301.139999999999,3.934958273001336,-5.10160893240128
Nuclear Reactor Unit,11548,41274.38,100472.55,3044.6,103517.16,Nuclear Reactor Unit,1.0,12976,46706,14,19,0,1,10110.0,1047000.0,101008.64197530864,104775.33247533249,1258.1724753324816,-2508.518024691366,1.2154240662441682,-2.423287138761695
Nuclear Pulse Generator,11692,17807.27,14909.03,1313.55,16222.58,Nuclear Pulse Generator,1.0,54985,205817,11,34,0,3,1302.0,154300.0,12794.17606402328,15499.337390128465,-723.242609871535,-3428.4039359767194,-4.458246529661342,-21.133530769931287
