name_prod,item_id,EIV_value,Material_cost,Job_cost,Total_production_price,name_market,volume_m3,buyVolume,sellVolume,buyOrders,sellOrders,sellOutliers,buyOutliers,buyThreshold,sellThreshold,buyAvgFivePercent,sellAvgFivePercent,sell_profit_isk,buy_profit_isk,sell_margin_percent,buy_margin_percent
Linear Shield Emitter,11557,9641.27,28241.93,711.19,28953.12,Linear Shield Emitter,1.0,62080,97718,6,17,1,0,3326.0,437700.0,33079.73260309279,43770.0,14816.880000000001,4126.612603092788,51.17541736434623,14.252738921030922
Particle Accelerator Unit,11688,13119.47,17011.92,967.76,17979.68,Particle Accelerator Unit,1.0,95030,32297,26,13,0,9,2261.0,260000.0,22601.46074510629,26755.731102850063,8776.051102850062,4621.780745106291,48.810941589895165,25.705578436914845
Oscillator Capacitor Unit,11553,42211.69,35253.53,3113.75,38367.27,Oscillator Capacitor Unit,1.0,86915,209024,29,48,1,4,4702.0,569400.0,46638.84464902186,56940.0,18572.730000000003,8271.574649021866,48.407744413402376,21.558934604995006
Sustained Shield Emitter,11558,10010.52,27881.55,738.43,28619.98,Sustained Shield Emitter,1.0,46430,205318,10,38,0,0,3803.0,412200.0,36919.80611805256,41220.0,12600.02,8299.826118052562,44.02525787928573,29.000111523671794
Laser Focusing Crystals,11689,12467.93,17324.96,919.7,18244.66,Laser Focusing Crystals,1.0,80411,589092,19,50,1,4,2309.0,249800.0,23073.6815920398,24980.0,6735.34,4829.0215920398,36.91677455211552,26.468136934532076
Deflection Shield Emitter,11555,9840.82,27096.31,725.91,27822.22,Deflection Shield Emitter,1.0,69504,40057,12,18,0,2,3543.0,380200.0,35430.0,38022.65234765235,10200.43234765235,7607.779999999999,36.66289874658582,27.34425937254467
Plasma Thruster,11530,10999.91,27998.5,811.41,28809.91,Plasma Thruster,1.0,86773,178618,19,44,0,4,2058.0,391600.0,20576.560627017057,39181.35131040752,10371.441310407517,-8233.349372982942,35.999561645307175,-28.578184982122274
Thermonuclear Trigger Unit,11691,12749.12,15757.26,940.44,16697.7,Thermonuclear Trigger Unit,1.0,83116,201177,21,16,0,0,1883.0,221500.0,18830.0,22150.0,5452.299999999999,2132.2999999999993,32.653000113788124,12.770022218628906
Ladar Sensor Cluster,11536,9532.31,19126.14,703.15,19829.29,Ladar Sensor Cluster,1.0,148731,254811,13,54,0,2,2010.0,261800.0,20095.33351264121,26189.21507064364,6359.92507064364,266.0435126412085,32.073387754395846,1.341669382217964
Magpulse Thruster,11533,11100.19,28453.12,818.81,29271.93,Magpulse Thruster,1.0,28180,99435,7,19,0,1,3154.0,382600.0,31540.0,38279.13900623617,9007.209006236168,2268.0699999999997,30.77080672930062,7.748276249635742
Ion Thruster,11531,11155.21,28529.32,822.86,29352.19,Ion Thruster,1.0,78442,208456,26,43,1,2,3750.0,382900.0,37330.5456399796,38302.094767342765,8949.904767342767,7978.355639979603,30.491437835959655,27.181466323227006
Magnetometric Sensor Cluster,11535,9795.14,20043.01,722.54,20765.55,Magnetometric Sensor Cluster,1.0,72539,80365,16,15,0,4,2352.0,270700.0,23511.11969111969,27070.0,6304.450000000001,2745.56969111969,30.36013975069286,13.221752812324691
Crystalline Carbonide Armor Plate,11545,5837.48,5703.21,430.6,6133.81,Crystalline Carbonide Armor Plate,1.0,875029,2429399,24,69,0,1,759.0,79520.0,7590.0,7952.0,1818.1899999999996,1456.1899999999996,29.642098467347367,23.740383220217115
Fernite Carbide Composite Armor Plate,11542,5311.82,3917.73,391.83,4309.56,Fernite Carbide Composite Armor Plate,1.0,738690,2098842,15,38,1,1,548.1,55850.0,5481.0,5586.473442472985,1276.9134424729846,1171.4399999999996,29.62978685696416,27.182357363628757
Titanium Diborite Armor Plate,11544,5651.23,5446.89,416.86,5863.75,Titanium Diborite Armor Plate,1.0,338247,1537266,13,23,1,2,750.9000000000001,75860.0,7509.0,7586.0,1722.25,1645.25,29.371136218290346,28.05798337241526
Gravimetric Sensor Cluster,11534,9702.02,19911.39,715.67,20627.06,Gravimetric Sensor Cluster,1.0,44331,266568,11,49,1,2,2223.0,262200.0,22230.0,26220.0,5592.939999999999,1602.9399999999987,27.11457667743245,7.771054139562296
Fusion Thruster,11532,10881.99,28661.76,802.71,29464.47,Fusion Thruster,1.0,114246,118101,18,19,0,0,712.4000000000001,367100.0,7122.973739495798,36836.05927180356,7371.589271803561,-22341.496260504202,25.01857074572718,-75.82521002585216
Pulse Shield Emitter,11556,10103.65,28013.17,745.3,28758.47,Pulse Shield Emitter,1.0,109676,147845,19,34,1,1,3452.0,357300.0,33602.29983585628,35775.88785046729,7017.417850467289,4843.829835856282,24.40122110274743,16.84314164090191
Superconductor Rails,11690,12988.25,16831.81,958.08,17789.88,Superconductor Rails,1.0,25643,193787,4,35,1,2,1777.0,220400.0,17770.0,22047.586545543825,4257.706545543824,-19.88000000000102,23.93330672013428,-0.1117489269180063
Graviton Pulse Generator,11693,17976.98,15694.27,1326.07,17020.34,Graviton Pulse Generator,1.0,90138,150996,20,22,0,3,1920.0,210900.0,19200.0,21090.0,4069.66,2179.66,23.91056817901405,12.806207161549063
Antimatter Reactor Unit,11549,41192.75,100954.92,3038.58,103993.5,Antimatter Reactor Unit,1.0,32426,66287,21,13,0,6,11110.0,1268000.0,110433.74460209747,127986.3325740319,23992.832574031898,6440.244602097475,23.071473288265036,6.192929944753735
Tungsten Carbide Armor Plate,11543,4912.72,6148.69,362.39,6511.08,Tungsten Carbide Armor Plate,1.0,420074,1916664,13,28,0,1,760.1,79910.0,7601.0,7991.0,1479.92,1089.92,22.729255361629715,16.739465649323922
Electrolytic Capacitor Unit,11551,33401.42,38323.64,2463.86,40787.49,Electrolytic Capacitor Unit,1.0,108882,167867,16,41,1,1,4796.0,495100.0,47942.33284349743,49510.0,8722.510000000002,7154.842843497434,21.385258077905757,17.54175813097946
Tesseract Capacitor Unit,11554,33390.92,40130.45,2463.08,42593.53,Tesseract Capacitor Unit,1.0,33901,274920,19,39,1,1,4841.0,513400.0,48410.0,51348.01722787784,8754.487227877842,5816.470000000001,20.553561134467703,13.655759454546267
